round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.6776649951934814,21780,21780,9.103870153427124,0.14769959449768066,5,42,ckks,8,0.3,0.5293927461022494,0.7543837428092957,0.031202411651611327,0.0,4356.0
2,0.682741105556488,21780,21780,0.1285092830657959,0.01300048828125,5,42,ckks,8,0.3,0.44889147623218456,0.8144853949546814,0.028806447982788086,0.0,4356.0
3,0.682741105556488,21780,21780,0.12607836723327637,0.013431549072265625,5,42,ckks,8,0.3,0.4651699252133145,0.7797967076301575,0.028836488723754883,0.0,4356.0
4,0.682741105556488,21780,21780,0.11904716491699219,0.014000415802001953,5,42,ckks,8,0.3,0.42841620381632783,0.7911054611206054,0.02863483428955078,0.0004004955291748047,4356.0
5,0.682741105556488,21780,21780,0.12033414840698242,0.012999773025512695,5,42,ckks,8,0.3,0.38362155769498407,0.8369758605957032,0.029083824157714842,0.0,4356.0
6,0.682741105556488,21780,21780,0.12051582336425781,0.012998342514038086,5,42,ckks,8,0.3,0.364008084905193,0.814866590499878,0.02771029472351074,0.0,4356.0
7,0.682741105556488,21780,21780,0.12043333053588867,0.013000011444091797,5,42,ckks,8,0.3,0.34755670639202285,0.8212198257446289,0.028340816497802734,0.0,4356.0
8,0.682741105556488,21780,21780,0.12351250648498535,0.01399993896484375,5,42,ckks,8,0.3,0.30783321094785593,0.8564167737960815,0.027906227111816406,0.0,4356.0
9,0.7614213228225708,21780,21780,0.12351489067077637,0.01399993896484375,5,42,ckks,8,0.3,0.32576988891164715,0.8250317692756652,0.029312562942504884,0.00019998550415039061,4356.0
10,0.682741105556488,21780,21780,0.13550758361816406,0.012000322341918945,5,42,ckks,8,0.3,0.2792849577802412,0.8467598557472229,0.03724117279052734,0.0004047870635986328,4356.0
11,0.9086294174194336,21780,21780,0.12766098976135254,0.014000415802001953,5,42,ckks,8,0.3,0.25352766843089003,0.8781448602676392,0.029000282287597656,0.0,4356.0
12,0.8959391117095947,21780,21780,0.11351799964904785,0.013999462127685547,5,42,ckks,8,0.3,0.22478098030731064,0.8834815740585327,0.030314207077026367,0.0,4356.0
13,0.9162436723709106,21780,21780,0.11452150344848633,0.012999773025512695,5,42,ckks,8,0.3,0.22361251256668885,0.9012706398963928,0.0283174991607666,0.00020017623901367188,4356.0
14,0.9162436723709106,21780,21780,0.11451244354248047,0.013998746871948242,5,42,ckks,8,0.3,0.18294674718404588,0.931893265247345,0.029207181930541993,0.0,4356.0
15,0.9314720630645752,21780,21780,0.11434364318847656,0.015000104904174805,5,42,ckks,8,0.3,0.18059121189967953,0.9493011355400085,0.0283383846282959,0.0,4356.0
16,0.9695431590080261,21780,21780,0.11451935768127441,0.013007164001464844,5,42,ckks,8,0.3,0.16743511258325097,0.9664548873901367,0.028109121322631835,0.0,4356.0
17,0.9847715497016907,21780,21780,0.11854052543640137,0.012999534606933594,5,42,ckks,8,0.3,0.14922590949105186,0.971664547920227,0.028379201889038086,0.0,4356.0
18,0.9847715497016907,21780,21780,0.12052059173583984,0.015000104904174805,5,42,ckks,8,0.3,0.13265223829537215,0.9837356925010681,0.028896617889404296,0.0,4356.0
19,0.9949238300323486,21780,21780,0.11651158332824707,0.014000892639160156,5,42,ckks,8,0.3,0.1286069788379545,0.9861499309539795,0.02880859375,0.0,4356.0
20,1.0,21780,21780,0.11851692199707031,0.013998746871948242,5,42,ckks,8,0.3,0.10226295201493643,0.9912325382232666,0.028705835342407227,0.00020003318786621094,4356.0
