round,acc,bytes_up,bytes_down,round_time,active_clients,seed,secure_mode,num_clients,dropout_prob
1,0.682741105556488,21780,21780,10.296850204467773,5,42,mask,8,0.3
2,0.682741105556488,21780,21780,0.5981810092926025,5,42,mask,8,0.3
3,0.682741105556488,21780,21780,0.5616838932037354,5,42,mask,8,0.3
4,0.682741105556488,21780,21780,0.5098905563354492,5,42,mask,8,0.3
5,0.682741105556488,21780,21780,0.5296311378479004,5,42,mask,8,0.3
6,0.875634491443634,21780,21780,0.5088951587677002,5,42,mask,8,0.3
7,0.8578680157661438,21780,21780,0.5015182495117188,5,42,mask,8,0.3
8,0.8477157354354858,21780,21780,0.5038275718688965,5,42,mask,8,0.3
9,0.8857868313789368,21780,21780,0.5139508247375488,5,42,mask,8,0.3
10,0.913705587387085,21780,21780,0.4930126667022705,5,42,mask,8,0.3
11,0.9162436723709106,21780,21780,0.5503380298614502,5,42,mask,8,0.3
12,0.9162436723709106,21780,21780,0.5437417030334473,5,42,mask,8,0.3
13,0.9187816977500916,21780,21780,0.616499662399292,5,42,mask,8,0.3
14,0.9289340376853943,21780,21780,0.5136151313781738,5,42,mask,8,0.3
15,0.9720812439918518,21780,21780,0.6038599014282227,5,42,mask,8,0.3
16,0.9847715497016907,21780,21780,0.48217177391052246,5,42,mask,8,0.3
17,0.9847715497016907,21780,21780,0.4819974899291992,5,42,mask,8,0.3
18,0.9949238300323486,21780,21780,0.4857337474822998,5,42,mask,8,0.3
19,1.0,21780,21780,0.5492486953735352,5,42,mask,8,0.3
20,1.0,21780,21780,0.4942789077758789,5,42,mask,8,0.3
21,1.0,21780,21780,0.48689842224121094,5,42,mask,8,0.3
22,1.0,21780,21780,0.48082900047302246,5,42,mask,8,0.3
23,1.0,21780,21780,0.5759420394897461,5,42,mask,8,0.3
24,1.0,21780,21780,0.5154733657836914,5,42,mask,8,0.3
25,1.0,21780,21780,0.5432548522949219,5,42,mask,8,0.3
26,1.0,21780,21780,0.502554178237915,5,42,mask,8,0.3
27,1.0,21780,21780,0.5545058250427246,5,42,mask,8,0.3
28,1.0,21780,21780,0.4999110698699951,5,42,mask,8,0.3
29,1.0,21780,21780,0.5495491027832031,5,42,mask,8,0.3
30,1.0,21780,21780,0.5026955604553223,5,42,mask,8,0.3
31,1.0,21780,21780,0.5246996879577637,5,42,mask,8,0.3
32,1.0,21780,21780,0.4904334545135498,5,42,mask,8,0.3
33,1.0,21780,21780,0.6358935832977295,5,42,mask,8,0.3
34,1.0,21780,21780,0.5900001525878906,5,42,mask,8,0.3
35,1.0,21780,21780,0.5265121459960938,5,42,mask,8,0.3
36,1.0,21780,21780,0.5043094158172607,5,42,mask,8,0.3
37,1.0,21780,21780,0.48642635345458984,5,42,mask,8,0.3
38,1.0,21780,21780,0.5167744159698486,5,42,mask,8,0.3
39,1.0,21780,21780,0.5013654232025146,5,42,mask,8,0.3
40,1.0,21780,21780,0.47003650665283203,5,42,mask,8,0.3
41,1.0,21780,21780,0.48006606101989746,5,42,mask,8,0.3
42,1.0,21780,21780,0.4670095443725586,5,42,mask,8,0.3
43,1.0,21780,21780,0.5180139541625977,5,42,mask,8,0.3
44,1.0,21780,21780,0.570436954498291,5,42,mask,8,0.3
45,1.0,21780,21780,0.5702590942382812,5,42,mask,8,0.3
46,1.0,21780,21780,0.49712204933166504,5,42,mask,8,0.3
47,1.0,21780,21780,0.4934375286102295,5,42,mask,8,0.3
48,1.0,21780,21780,0.4919552803039551,5,42,mask,8,0.3
49,1.0,21780,21780,0.47919774055480957,5,42,mask,8,0.3
50,1.0,21780,21780,0.47304272651672363,5,42,mask,8,0.3
