round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.7633587718009949,24340,21780,9.55967378616333,0.14604616165161133,5,42,ckks,10,0.5,0.5481450324061562,0.7571791529655456,0.0526085376739502,0.0,4868.0
2,0.8061068654060364,24340,21780,0.4660160541534424,0.013927698135375977,5,42,ckks,10,0.5,0.5072414993482441,0.7824650526046752,0.027552080154418946,0.0001960277557373047,4868.0
3,0.8061068654060364,24340,21780,0.41024303436279297,0.011977672576904297,5,42,ckks,10,0.5,0.4566259277480379,0.8041931390762329,0.02963094711303711,0.0,4868.0
4,0.8061068654060364,24340,21780,0.14743423461914062,0.013999223709106445,5,42,ckks,10,0.5,0.456940332596608,0.7861499309539794,0.028873109817504884,0.0,4868.0
5,0.8061068654060364,24340,21780,0.13791799545288086,0.012192726135253906,5,42,ckks,10,0.5,0.4335925789353505,0.7885641574859619,0.030208349227905273,0.0,4868.0
6,0.8061068654060364,24340,21780,0.13341808319091797,0.011857032775878906,5,42,ckks,10,0.5,0.38299404343701376,0.8008894443511962,0.02678513526916504,0.0,4868.0
7,0.8061068654060364,24340,21780,0.1414344310760498,0.011580944061279297,5,42,ckks,10,0.5,0.35889719092633854,0.8064803123474121,0.027814245223999022,0.0,4868.0
8,0.8061068654060364,24340,21780,0.14490938186645508,0.013560295104980469,5,42,ckks,10,0.5,0.3128857568625877,0.853875482082367,0.028542423248291017,0.0,4868.0
9,0.8061068654060364,24340,21780,0.13932299613952637,0.012912511825561523,5,42,ckks,10,0.5,0.2991452410703542,0.8341804385185242,0.02858257293701172,0.0,4868.0
10,0.8117048144340515,24340,21780,0.1574862003326416,0.013926267623901367,5,42,ckks,10,0.5,0.26590454318434037,0.8613723039627075,0.028935670852661133,0.0,4868.0
11,0.8923664093017578,24340,21780,0.14584660530090332,0.011999845504760742,5,42,ckks,10,0.5,0.23955282647318882,0.8908513307571411,0.030353593826293945,0.0,4868.0
12,0.8895674347877502,24340,21780,0.13805556297302246,0.012189865112304688,5,42,ckks,10,0.5,0.21365318197894279,0.8955527305603027,0.029629898071289063,0.0,4868.0
13,0.9033079147338867,24340,21780,0.14504694938659668,0.013999223709106445,5,42,ckks,10,0.5,0.21341740365176826,0.9060991168022156,0.029206275939941406,0.0,4868.0
14,0.9511450529098511,24340,21780,0.14124369621276855,0.013030767440795898,5,42,ckks,10,0.5,0.18149235832588947,0.9592121958732605,0.029493188858032225,0.0,4868.0
15,0.9666666388511658,24340,21780,0.14322257041931152,0.01500082015991211,5,42,ckks,10,0.5,0.1711372250196402,0.9580686092376709,0.031400012969970706,0.0,4868.0
16,0.9664121866226196,24340,21780,0.1418159008026123,0.013071060180664062,5,42,ckks,10,0.5,0.13680411861378705,0.9820838570594788,0.030539464950561524,0.0,4868.0
17,0.9854961633682251,24340,21780,0.14148974418640137,0.012986421585083008,5,42,ckks,10,0.5,0.1456797766791517,0.9753494262695312,0.030680274963378905,0.00020008087158203126,4868.0
18,0.9824427366256714,24340,21780,0.149949312210083,0.013000011444091797,5,42,ckks,10,0.5,0.12493549831864795,0.9761118173599244,0.031033134460449217,0.0,4868.0
19,0.983460545539856,24340,21780,0.14354729652404785,0.01310873031616211,5,42,ckks,10,0.5,0.10521994682722352,0.9890724182128906,0.029487800598144532,0.0,4868.0
20,0.9903308153152466,24340,21780,0.14359021186828613,0.013511419296264648,5,42,ckks,10,0.5,0.11175044053169074,0.988691222667694,0.029203081130981447,0.00019979476928710938,4868.0
