round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.8055979609489441,24340,21780,16.743667602539062,0.5671584606170654,5,42,ckks,10,0.5,0.5125892755718667,0.7952986001968384,0.16975641250610352,0.00019474029541015624,4868.0
2,0.8061068654060364,24340,21780,0.7224586009979248,0.06509852409362793,5,42,ckks,10,0.5,0.45383554294118433,0.7890724301338196,0.16111459732055664,0.00019927024841308593,4868.0
3,0.8061068654060364,24340,21780,0.7137768268585205,0.059995174407958984,5,42,ckks,10,0.5,0.4171907684551564,0.7834815740585327,0.16361470222473146,0.0,4868.0
4,0.8061068654060364,24340,21780,0.6800673007965088,0.06301999092102051,5,42,ckks,10,0.5,0.363501678204597,0.8034307599067688,0.16203908920288085,0.00019211769104003905,4868.0
5,0.8061068654060364,24340,21780,0.6881537437438965,0.06018829345703125,5,42,ckks,10,0.5,0.34869020873020384,0.8312579393386841,0.16174063682556153,0.0,4868.0
6,0.8063613176345825,24340,21780,0.6790354251861572,0.05901312828063965,5,42,ckks,10,0.5,0.30624876341378976,0.8409148812294006,0.15907363891601561,0.00020213127136230468,4868.0
7,0.8249363899230957,24340,21780,0.6808998584747314,0.059979915618896484,5,42,ckks,10,0.5,0.2703024355701752,0.843964421749115,0.16143159866333007,0.0,4868.0
8,0.8061068654060364,24340,21780,0.6924536228179932,0.058077096939086914,5,42,ckks,10,0.5,0.26680688557358223,0.8489199638366699,0.16444602012634277,0.0,4868.0
9,0.8572518825531006,24340,21780,0.6765587329864502,0.05800938606262207,5,42,ckks,10,0.5,0.22584341638916783,0.8858958125114441,0.15980129241943358,0.0,4868.0
10,0.9017811417579651,24340,21780,1.3454186916351318,0.06899642944335938,5,42,ckks,10,0.5,0.20775841168936204,0.9202033162117005,0.2883433818817139,0.00019865036010742189,4868.0
11,0.9536895751953125,24340,21780,0.6670491695404053,0.05998516082763672,5,42,ckks,10,0.5,0.18034164189269916,0.946124529838562,0.16163091659545897,0.0,4868.0
12,0.9648854732513428,24340,21780,0.6941609382629395,0.06098675727844238,5,42,ckks,10,0.5,0.15773225677645797,0.956797969341278,0.16458415985107422,0.0,4868.0
13,0.9839694499969482,24340,21780,0.6933839321136475,0.06400084495544434,5,42,ckks,10,0.5,0.15881117529778954,0.971664547920227,0.1658463954925537,0.0,4868.0
14,0.9743002653121948,24340,21780,0.6977596282958984,0.058347225189208984,5,42,ckks,10,0.5,0.13756601372130187,0.9791613698005677,0.16036748886108398,0.0001911640167236328,4868.0
15,0.9885495901107788,24340,21780,0.6896483898162842,0.05801057815551758,5,42,ckks,10,0.5,0.12330816984934001,0.9869123220443725,0.16600542068481444,0.0,4868.0
16,0.9959287643432617,24340,21780,0.7096052169799805,0.06427884101867676,5,42,ckks,10,0.5,0.1185767147369361,0.9866581916809082,0.16236133575439454,0.0,4868.0
17,0.9905852675437927,24340,21780,0.8086929321289062,0.060791969299316406,5,42,ckks,10,0.5,0.11022483245522882,0.9853875517845154,0.15999240875244142,0.00019922256469726563,4868.0
18,0.996437668800354,24340,21780,0.6943542957305908,0.06685137748718262,5,42,ckks,10,0.5,0.09025870708942774,0.9919949173927307,0.15825943946838378,0.00040178298950195314,4868.0
19,0.996437668800354,24340,21780,0.6726493835449219,0.057181596755981445,5,42,ckks,10,0.5,0.07963224584390581,0.991486656665802,0.15805315971374512,0.00040163993835449217,4868.0
20,0.998218834400177,24340,21780,0.6891541481018066,0.0590062141418457,5,42,ckks,10,0.5,0.08833824220566693,0.9923761010169982,0.1590897560119629,0.0,4868.0
