round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.8055979609489441,24340,21780,19.59849500656128,0.5878024101257324,5,42,ckks,10,0.5,0.5023193625399542,0.7958068609237671,0.16111435890197753,0.0,4868.0
2,0.8061068654060364,24340,21780,1.0454497337341309,0.05531811714172363,5,42,ckks,10,0.5,0.46208403305904383,0.782973313331604,0.15687761306762696,0.00019903182983398436,4868.0
3,0.8061068654060364,24340,21780,0.7884438037872314,0.09675860404968262,5,42,ckks,10,0.5,0.4503780825241094,0.7814485311508179,0.16376132965087892,0.0,4868.0
4,0.8061068654060364,24340,21780,1.642322301864624,0.059914350509643555,5,42,ckks,10,0.5,0.3966973568841796,0.8057179093360901,0.16540937423706054,0.0005215644836425781,4868.0
5,0.8061068654060364,24340,21780,0.7051870822906494,0.062047481536865234,5,42,ckks,10,0.5,0.40324279624670556,0.7823379755020141,0.16259355545043946,0.00021562576293945312,4868.0
6,0.8061068654060364,24340,21780,0.7232315540313721,0.060027360916137695,5,42,ckks,10,0.5,0.3233556288927604,0.8467598557472229,0.16789774894714354,0.0,4868.0
7,0.8061068654060364,24340,21780,0.6934983730316162,0.05897164344787598,5,42,ckks,10,0.5,0.3156035571930672,0.8196950554847717,0.16138834953308107,0.0004252910614013672,4868.0
8,0.8061068654060364,24340,21780,0.6945765018463135,0.062103986740112305,5,42,ckks,10,0.5,0.27717002479139397,0.8490470170974731,0.16175951957702636,0.00020093917846679686,4868.0
9,0.8061068654060364,24340,21780,0.6846258640289307,0.05700826644897461,5,42,ckks,10,0.5,0.2437782904301241,0.8677255511283875,0.16104841232299805,0.00040044784545898435,4868.0
10,0.8638677000999451,24340,21780,0.663872241973877,0.06109786033630371,5,42,ckks,10,0.5,0.20857799743341218,0.8913595914840698,0.16204299926757812,0.0,4868.0
11,0.8895674347877502,24340,21780,0.6660254001617432,0.06393814086914062,5,42,ckks,10,0.5,0.19966709217887368,0.9059720516204834,0.16188397407531738,0.0,4868.0
12,0.9559796452522278,24340,21780,0.6720402240753174,0.06219053268432617,5,42,ckks,10,0.5,0.1908421175073941,0.9552731871604919,0.1605626106262207,0.00019974708557128905,4868.0
13,0.9597964286804199,24340,21780,0.6576681137084961,0.061005592346191406,5,42,ckks,10,0.5,0.16021784494383665,0.9745870351791381,0.161857271194458,0.00020809173583984374,4868.0
14,0.9829516410827637,24340,21780,0.6858041286468506,0.05898642539978027,5,42,ckks,10,0.5,0.14159338906539895,0.9803049683570861,0.16180086135864258,0.0001998424530029297,4868.0
15,0.9882951378822327,24340,21780,0.6884076595306396,0.06000185012817383,5,42,ckks,10,0.5,0.15190270417139143,0.982210922241211,0.15680580139160155,0.0001362323760986328,4868.0
16,0.9872773289680481,24340,21780,0.6751563549041748,0.05809307098388672,5,42,ckks,10,0.5,0.12965304521415405,0.9860228657722473,0.15825462341308594,0.0005997180938720703,4868.0
17,0.9949109554290771,24340,21780,0.6814579963684082,0.062169790267944336,5,42,ckks,10,0.5,0.12130923126214758,0.9883100509643554,0.16381316184997557,0.0003998279571533203,4868.0
18,0.9941475987434387,24340,21780,0.6875908374786377,0.05892491340637207,5,42,ckks,10,0.5,0.09501765454815182,0.9908513307571412,0.16250243186950683,0.0,4868.0
19,0.9984732866287231,24340,21780,0.9860668182373047,0.06000161170959473,5,42,ckks,10,0.5,0.10416970487111255,0.9937738180160522,0.1592592716217041,0.00040178298950195314,4868.0
20,0.9989821910858154,24340,21780,0.714724063873291,0.08493375778198242,5,42,ckks,10,0.5,0.09062807545293089,0.9928843736648559,0.1647581100463867,0.00016374588012695311,4868.0
