round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up
1,0.805343508720398,24340,21780,31.154716968536377,0.5578787326812744,5,42,ckks,10,0.5,0.49928711532713344,0.7997458696365356,0.17117085456848144,0.00019679069519042968,4868.0
2,0.8061068654060364,24340,21780,0.730379581451416,0.059951066970825195,5,42,ckks,10,0.5,0.4526067303959872,0.8163913488388062,0.1567239284515381,0.0,4868.0
3,0.8061068654060364,24340,21780,0.6888952255249023,0.06017255783081055,5,42,ckks,10,0.5,0.44717246297808433,0.7980940222740174,0.1570117950439453,0.0003966808319091797,4868.0
4,0.8061068654060364,24340,21780,0.7380659580230713,0.0619966983795166,5,42,ckks,10,0.5,0.4241154264275273,0.7909783959388733,0.16245360374450685,0.0,4868.0
5,0.8061068654060364,24340,21780,0.6362957954406738,0.05985617637634277,5,42,ckks,10,0.5,0.3676976792732067,0.8449809551239014,0.1571835994720459,0.00027523040771484377,4868.0
6,0.8061068654060364,24340,21780,0.6438226699829102,0.06051206588745117,5,42,ckks,10,0.5,0.32852056370681243,0.8498094081878662,0.16044812202453612,0.0,4868.0
7,0.8061068654060364,24340,21780,0.6414923667907715,0.0609898567199707,5,42,ckks,10,0.5,0.3439816661983766,0.8324015259742736,0.1622321128845215,0.0,4868.0
8,0.8503816723823547,24340,21780,0.6581659317016602,0.07200956344604492,5,42,ckks,10,0.5,0.30777469138216035,0.8686150074005127,0.16221389770507813,0.00017604827880859374,4868.0
9,0.8061068654060364,24340,21780,0.6614217758178711,0.060121774673461914,5,42,ckks,10,0.5,0.285538071092914,0.838246512413025,0.15915284156799317,0.000616455078125,4868.0
10,0.8061068654060364,24340,21780,0.6399738788604736,0.06298637390136719,5,42,ckks,10,0.5,0.24863990348547205,0.8748411774635315,0.16347765922546387,0.00020265579223632812,4868.0
11,0.8877862691879272,24340,21780,1.53434157371521,0.056174278259277344,5,42,ckks,10,0.5,0.24261294147035217,0.8649301052093505,0.36493349075317383,0.0,4868.0
12,0.8765903115272522,24340,21780,0.6360468864440918,0.06406331062316895,5,42,ckks,10,0.5,0.20268805287068348,0.9010165214538575,0.16543664932250976,0.0001995086669921875,4868.0
13,0.9119592905044556,24340,21780,0.6926729679107666,0.07002067565917969,5,42,ckks,10,0.5,0.21355278709432374,0.8970775127410888,0.16199464797973634,0.0,4868.0
14,0.9188295006752014,24340,21780,0.734227180480957,0.06209206581115723,5,42,ckks,10,0.5,0.18148573674119564,0.9265565514564514,0.15964055061340332,0.0,4868.0
15,0.9661577343940735,24340,21780,0.6541008949279785,0.061994314193725586,5,42,ckks,10,0.5,0.1850228487735252,0.9634053349494934,0.15629067420959472,0.0001994609832763672,4868.0
16,0.9694656729698181,24340,21780,0.6714117527008057,0.05908012390136719,5,42,ckks,10,0.5,0.15763426128647076,0.9743329167366028,0.1601717948913574,0.0,4868.0
17,0.9720101952552795,24340,21780,0.5421404838562012,0.015002250671386719,5,42,ckks,10,0.5,0.13004450462900546,0.9797966957092286,0.13885631561279296,0.00019998550415039061,4868.0
18,0.9931297898292542,24340,21780,0.22008299827575684,0.012984752655029297,5,42,ckks,10,0.5,0.13295235829818355,0.983608627319336,0.03420901298522949,0.0002055644989013672,4868.0
19,0.9837149977684021,24340,21780,0.1418898105621338,0.013128519058227539,5,42,ckks,10,0.5,0.11813620269248852,0.9903430700302124,0.028038740158081055,0.0,4868.0
20,0.9860050678253174,24340,21780,0.14161252975463867,0.012990713119506836,5,42,ckks,10,0.5,0.10636500044473775,0.9872935175895691,0.027615118026733398,0.0,4868.0
