round,acc,bytes_up,bytes_down,round_time,agg_time,active_clients,seed,secure_mode,num_clients,dropout_prob,avg_train_loss,avg_train_accuracy,avg_train_time,avg_sec_time,avg_client_bytes_up,variant
1,0.7633587718009949,24340,21780,9.55967378616333,0.1460461616516113,5,42,ckks,10,0.5,0.5481450324061562,0.7571791529655456,0.0526085376739502,0.0,4868.0,ckks_baseline
2,0.8061068654060364,24340,21780,0.4660160541534424,0.0139276981353759,5,42,ckks,10,0.5,0.5072414993482441,0.7824650526046752,0.0275520801544189,0.0001960277557373,4868.0,ckks_baseline
3,0.8061068654060364,24340,21780,0.4102430343627929,0.0119776725769042,5,42,ckks,10,0.5,0.4566259277480379,0.8041931390762329,0.0296309471130371,0.0,4868.0,ckks_baseline
4,0.8061068654060364,24340,21780,0.1474342346191406,0.0139992237091064,5,42,ckks,10,0.5,0.456940332596608,0.7861499309539794,0.0288731098175048,0.0,4868.0,ckks_baseline
5,0.8061068654060364,24340,21780,0.1379179954528808,0.0121927261352539,5,42,ckks,10,0.5,0.4335925789353505,0.7885641574859619,0.0302083492279052,0.0,4868.0,ckks_baseline
6,0.8061068654060364,24340,21780,0.1334180831909179,0.0118570327758789,5,42,ckks,10,0.5,0.3829940434370137,0.8008894443511962,0.026785135269165,0.0,4868.0,ckks_baseline
7,0.8061068654060364,24340,21780,0.1414344310760498,0.0115809440612792,5,42,ckks,10,0.5,0.3588971909263385,0.8064803123474121,0.027814245223999,0.0,4868.0,ckks_baseline
8,0.8061068654060364,24340,21780,0.144909381866455,0.0135602951049804,5,42,ckks,10,0.5,0.3128857568625877,0.853875482082367,0.028542423248291,0.0,4868.0,ckks_baseline
9,0.8061068654060364,24340,21780,0.1393229961395263,0.0129125118255615,5,42,ckks,10,0.5,0.2991452410703542,0.8341804385185242,0.0285825729370117,0.0,4868.0,ckks_baseline
10,0.8117048144340515,24340,21780,0.1574862003326416,0.0139262676239013,5,42,ckks,10,0.5,0.2659045431843403,0.8613723039627075,0.0289356708526611,0.0,4868.0,ckks_baseline
11,0.8923664093017578,24340,21780,0.1458466053009033,0.0119998455047607,5,42,ckks,10,0.5,0.2395528264731888,0.8908513307571411,0.0303535938262939,0.0,4868.0,ckks_baseline
12,0.8895674347877502,24340,21780,0.1380555629730224,0.0121898651123046,5,42,ckks,10,0.5,0.2136531819789427,0.8955527305603027,0.029629898071289,0.0,4868.0,ckks_baseline
13,0.9033079147338868,24340,21780,0.1450469493865966,0.0139992237091064,5,42,ckks,10,0.5,0.2134174036517682,0.9060991168022156,0.0292062759399414,0.0,4868.0,ckks_baseline
14,0.9511450529098512,24340,21780,0.1412436962127685,0.0130307674407958,5,42,ckks,10,0.5,0.1814923583258894,0.9592121958732605,0.0294931888580322,0.0,4868.0,ckks_baseline
15,0.9666666388511658,24340,21780,0.1432225704193115,0.0150008201599121,5,42,ckks,10,0.5,0.1711372250196402,0.9580686092376708,0.0314000129699707,0.0,4868.0,ckks_baseline
16,0.9664121866226196,24340,21780,0.1418159008026123,0.013071060180664,5,42,ckks,10,0.5,0.136804118613787,0.9820838570594788,0.0305394649505615,0.0,4868.0,ckks_baseline
17,0.9854961633682252,24340,21780,0.1414897441864013,0.012986421585083,5,42,ckks,10,0.5,0.1456797766791517,0.9753494262695312,0.0306802749633789,0.000200080871582,4868.0,ckks_baseline
18,0.9824427366256714,24340,21780,0.149949312210083,0.0130000114440917,5,42,ckks,10,0.5,0.1249354983186479,0.9761118173599244,0.0310331344604492,0.0,4868.0,ckks_baseline
19,0.983460545539856,24340,21780,0.1435472965240478,0.0131087303161621,5,42,ckks,10,0.5,0.1052199468272235,0.9890724182128906,0.0294878005981445,0.0,4868.0,ckks_baseline
20,0.9903308153152466,24340,21780,0.1435902118682861,0.0135114192962646,5,42,ckks,10,0.5,0.1117504405316907,0.988691222667694,0.0292030811309814,0.0001997947692871,4868.0,ckks_baseline
1,0.8055979609489441,24340,21780,16.743667602539062,0.5671584606170654,5,42,ckks,10,0.5,0.5125892755718667,0.7952986001968384,0.1697564125061035,0.0001947402954101,4868.0,ckks_clip
2,0.8061068654060364,24340,21780,0.7224586009979248,0.0650985240936279,5,42,ckks,10,0.5,0.4538355429411843,0.7890724301338196,0.1611145973205566,0.000199270248413,4868.0,ckks_clip
3,0.8061068654060364,24340,21780,0.7137768268585205,0.0599951744079589,5,42,ckks,10,0.5,0.4171907684551564,0.7834815740585327,0.1636147022247314,0.0,4868.0,ckks_clip
4,0.8061068654060364,24340,21780,0.6800673007965088,0.0630199909210205,5,42,ckks,10,0.5,0.363501678204597,0.8034307599067688,0.1620390892028808,0.00019211769104,4868.0,ckks_clip
5,0.8061068654060364,24340,21780,0.6881537437438965,0.0601882934570312,5,42,ckks,10,0.5,0.3486902087302038,0.8312579393386841,0.1617406368255615,0.0,4868.0,ckks_clip
6,0.8063613176345825,24340,21780,0.6790354251861572,0.0590131282806396,5,42,ckks,10,0.5,0.3062487634137897,0.8409148812294006,0.1590736389160156,0.0002021312713623,4868.0,ckks_clip
7,0.8249363899230957,24340,21780,0.6808998584747314,0.0599799156188964,5,42,ckks,10,0.5,0.2703024355701752,0.843964421749115,0.16143159866333,0.0,4868.0,ckks_clip
8,0.8061068654060364,24340,21780,0.6924536228179932,0.0580770969390869,5,42,ckks,10,0.5,0.2668068855735822,0.8489199638366699,0.1644460201263427,0.0,4868.0,ckks_clip
9,0.8572518825531006,24340,21780,0.6765587329864502,0.058009386062622,5,42,ckks,10,0.5,0.2258434163891678,0.8858958125114441,0.1598012924194335,0.0,4868.0,ckks_clip
10,0.9017811417579652,24340,21780,1.3454186916351318,0.0689964294433593,5,42,ckks,10,0.5,0.207758411689362,0.9202033162117004,0.2883433818817139,0.0001986503601074,4868.0,ckks_clip
11,0.9536895751953124,24340,21780,0.6670491695404053,0.0599851608276367,5,42,ckks,10,0.5,0.1803416418926991,0.946124529838562,0.1616309165954589,0.0,4868.0,ckks_clip
12,0.9648854732513428,24340,21780,0.6941609382629395,0.0609867572784423,5,42,ckks,10,0.5,0.1577322567764579,0.956797969341278,0.1645841598510742,0.0,4868.0,ckks_clip
13,0.9839694499969482,24340,21780,0.6933839321136475,0.0640008449554443,5,42,ckks,10,0.5,0.1588111752977895,0.971664547920227,0.1658463954925537,0.0,4868.0,ckks_clip
14,0.9743002653121948,24340,21780,0.6977596282958984,0.0583472251892089,5,42,ckks,10,0.5,0.1375660137213018,0.9791613698005676,0.1603674888610839,0.0001911640167236,4868.0,ckks_clip
15,0.9885495901107788,24340,21780,0.6896483898162842,0.0580105781555175,5,42,ckks,10,0.5,0.12330816984934,0.9869123220443724,0.1660054206848144,0.0,4868.0,ckks_clip
16,0.9959287643432616,24340,21780,0.7096052169799805,0.0642788410186767,5,42,ckks,10,0.5,0.1185767147369361,0.9866581916809082,0.1623613357543945,0.0,4868.0,ckks_clip
17,0.9905852675437928,24340,21780,0.8086929321289062,0.0607919692993164,5,42,ckks,10,0.5,0.1102248324552288,0.9853875517845154,0.1599924087524414,0.0001992225646972,4868.0,ckks_clip
